Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Beit Yisrael,841,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79069840%2C35.22133660&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79069840%2C35.22133660&amp;navigate=yes&amp;zoom=16"">25 Yoel St.</a> ",100,,80,"""Mosiyof"" synagogue",31.79120318,35.22139609,25 Yoel St.,,,HaBucharim - Beit Yisrael
Beit Yisrael,908,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79186860%2C35.22323570&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79186860%2C35.22323570&amp;navigate=yes&amp;zoom=16"">22 Shimshon Polanski St.</a> ",100,,80,Bucharim Community Administration,31.79208743,35.2232357,22 Shimshon Polanski St.,,,HaBucharim - Beit Yisrael
Talbiya,Public Shelter No. 807,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77001220%2C35.21782930&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77001220%2C35.21782930&amp;navigate=yes&amp;zoom=16"">7 Benjamin Disraeli St.</a> ",115,,92,"Emergency and Security Division, Jerusalem Municipality",31.77014346,35.21700218,7 Benjamin Disraeli St.,,,Talbiya - Komemiyut
Sanhedria,Public Shelter No.602,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79747430%2C35.21873600&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79747430%2C35.21873600&amp;navigate=yes&amp;zoom=16"">6 HaSanhedrin St.</a> ",100,Shelter,80,"""Hasidei Morditz"" yeshiva",31.79755634,35.21872527,6 HaSanhedrin St.,,,Sanhedria
"Shmuel HaNavi ",Public Shelter No.604,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79568800%2C35.21879420&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79568800%2C35.21879420&amp;navigate=yes&amp;zoom=16"">8 Shimon Hacham St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.795412149351016,35.2188737,8 Shimon Hacham St.,,,Shmuel HaNavi
Romema,Public Shelter No.606,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79558840%2C35.21449380&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79558840%2C35.21449380&amp;navigate=yes&amp;zoom=16"">1 Pnina St.</a> ",80,,64,"Emergency and Security Division, Jerusalem Municipality",31.795624849266986,35.21447234627226,1 Pnina St.,,,Romema
"Bucharim ",Public Shelter No.609,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16"">23 Yisa Bracha St.</a> ",250,"Shelter ",200,"Emergency and Security Division, Jerusalem Municipality",31.79229011,35.2176755,23 Yisa Bracha St.,,,HaBucharim - Beit Yisrael
Bukharim,Public Shelter No.612,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16"">16 Yoel St.</a> ",50,Shelter,40,Karlin Hasidic community,31.78987955,35.22089024,16 Yoel St.,,,HaBucharim - Beit Yisrael
Shmuel HaNavi,Public Shelter No.616,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJu7pxf90pAxURLAhuO0f2chM&amp;ll=31.79247020%2C35.22314580&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJu7pxf90pAxURLAhuO0f2chM&amp;ll=31.79247020%2C35.22314580&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">61 Shmuel Hanavi St.</a> ",,Shelter,80,"Emergency and Security Division, Jerusalem Municipality",31.79249233140142,35.22309569,61 Shmuel Hanavi St.,,,Shmuel HaNavi
Shmuel HaNavi,Public Shelter No.618,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79279960%2C35.22317870&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79279960%2C35.22317870&amp;navigate=yes&amp;zoom=16"">66 Shmuel HaNavi St.</a> ",110,,137,"""Ohalei Ya'akov"" synagogue ",31.792860731292258,35.22315682,66 Shmuel HaNavi St.,,,Shmuel HaNavi
Geula,Public Shelter No.621,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78944350%2C35.21955760&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78944350%2C35.21955760&amp;navigate=yes&amp;zoom=16"">8 Hoshe'a St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.78971852,35.2196259,8 Hoshe'a St.,,,Geula
Mea She'arim,Public Shelter No.632,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78564640%2C35.22460790&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78564640%2C35.22460790&amp;navigate=yes&amp;zoom=16"">87 Me'a She'arim St.</a> ",80,Shelter,64,"Emergency and Security Division, Jerusalem Municipality",31.78581751,35.22459891,87 Me'a She'arim St.,,,Mea Shearim
Geula,Public Shelter No.637,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78767970%2C35.21894860&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78767970%2C35.21894860&amp;navigate=yes&amp;zoom=16"">18 Nahman MiBreslev St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.7877374,35.21997837,18 Nahman MiBreslev St.,,,Geula
City Center,Public Shelter No.639,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78554110%2C35.21520460&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78554110%2C35.21520460&amp;navigate=yes&amp;zoom=16"">2 Michel Pines St.</a> ",250,,200,Degel Yerushalayim,31.785705163311736," 35.21512951956394",2 Michel Pines St.,,,City Center
Mekor Baruch,Public Shelter No.641,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78913660%2C35.21372570&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78913660%2C35.21372570&amp;navigate=yes&amp;zoom=16"">25 Kfar Nahum St.</a> ",180,,144,"""HaMeor Nativ Kodesh"" organization",31.78927688,35.21424313,25 Kfar Nahum St.,,,Makor Baruch
"Mekor Baruch ",Public Shelter No.643,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79037470%2C35.21093400&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79037470%2C35.21093400&amp;navigate=yes&amp;zoom=16"">73 Malkei Israel St.</a> ",400,,320,"Emergency and Security Division, Jerusalem Municipality",31.79060663,35.21083998,73 Malkei Israel St.,,,Makor Baruch
Mahane Yehuda,Public Shelter No.648,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78341050%2C35.20962170&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78341050%2C35.20962170&amp;navigate=yes&amp;zoom=16"">15 Nahar Prat St.</a> ",236,,188,"Emergency and Security Division, Jerusalem Municipality",31.78336583,35.20939807,15 Nahar Prat St.,,,City Center
Nachlaot,Public Shelter No.657,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77953990%2C35.21121990&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77953990%2C35.21121990&amp;navigate=yes&amp;zoom=16"">21 Tsfat St.</a> ",,,400,"Society Division of Jerusalem Municipality, ""Ariel"" youth movement ",31.77968218,35.21119735,21 Tsfat St.,,,Nachlaot - Lev Ha'ir
Rehavia,Public Shelter No.658,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77552590%2C35.21402360&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77552590%2C35.21402360&amp;navigate=yes&amp;zoom=16"">13 Ibn Ezra St.</a> ",80,,64,"Emergency and Security Division, Jerusalem Municipality",31.775601398716745,35.21411710394585,13 Ibn Ezra St.,,,Rehavia
Rehavia,Public Shelter No.659,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77508850%2C35.21529880&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77508850%2C35.21529880&amp;navigate=yes&amp;zoom=16"">15 Ibn Gabirol St.</a> ",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.775111057369614,35.2153943174367,15 Ibn Gabirol St.,,,Rehavia
Kiryat Shmuel,Public Shelter No.667,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJqRFPadfXAhURTfNMjSFVJ2A&amp;ll=31.76747800%2C35.21103320&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJqRFPadfXAhURTfNMjSFVJ2A&amp;ll=31.76747800%2C35.21103320&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">22 HaPalmach St.</a> ",180,,144,"Emergency and Security Division, Jerusalem Municipality",31.767487095675378,35.211043932782616,22 HaPalmach St.,,,Kiryat Shmuel
,Public Shelter No.670,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76545540%2C35.21291140&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76545540%2C35.21291140&amp;navigate=yes&amp;zoom=16"">9 Bostanai St.</a> ",140,Shelter,112,"Emergency and Security Division, Jerusalem Municipality",31.76565605,35.21287922,9 Bostanai St.,,,German Colony
Old Katamon,Public Shelter No.671,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJr7GH8dfXAhURbAYF-CIC8ro&amp;ll=31.76615520%2C35.21380620&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJr7GH8dfXAhURbAYF-CIC8ro&amp;ll=31.76615520%2C35.21380620&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">22 Kaf Tet BeNovember St.</a> ",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.766167065640484,35.21380394627346,22 Kaf Tet BeNovember St.,,,"Gonenim - Katamonim, Accessible Shelter"
Emek Refaim,Public Shelter No.672,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76495610%2C35.21729920&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76495610%2C35.21729920&amp;navigate=yes&amp;zoom=16"">10 Ruth St.</a> ",150,,120,"Emergency and Security Division, Jerusalem Municipality",31.76506375,35.21736907,10 Ruth St.,,,German Colony
Emek Refaim,Public Shelter No.673,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76346690%2C35.21857070&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76346690%2C35.21857070&amp;navigate=yes&amp;zoom=16"">3 Malal St.</a> ",114,Shelter,91,"Emergency and Security Division, Jerusalem Municipality",31.78075326,35.21629892,3 Malal St.,,,German Colony
"Emek Refaim ",Public Shelter No.674,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJSd1N-_kpAxURhzRLw1T-FdE&amp;ll=31.76597870%2C35.21828410&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJSd1N-_kpAxURhzRLw1T-FdE&amp;ll=31.76597870%2C35.21828410&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">7 Bachar St.</a> ",150,,120,"Emergency and Security Division, Jerusalem Municipality",31.76617023,35.218209,7 Bachar St.,,,HaMoshava HaGermanit
Emek Refaim,Public Shelter No.676,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76436110%2C35.22100730&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76436110%2C35.22100730&amp;navigate=yes&amp;zoom=16"">6 Emile Zola St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.76455263,35.22099657,6 Emile Zola St.,,,German Colony
Emek Refaim,Public Shelter No.677,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76362400%2C35.22109630&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76362400%2C35.22109630&amp;navigate=yes&amp;zoom=16"">6 Wyndham Deedes St.</a> ",290,,232,"Emergency and Security Division, Jerusalem Municipality",31.76403005,35.22126489,6 Wyndham Deedes St.,,,German Colony
Talpiot,Public Shelter No.679,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76344980%2C35.22545390&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76344980%2C35.22545390&amp;navigate=yes&amp;zoom=16"">59 Hebron Rd.</a> ",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.763436661978776,35.2256433,59 Hebron Rd.,,,Talpiyot - Arnona
Baka,Public Shelter No.681,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJZfgatiYoAxURNuZXb0gVP9k&amp;ll=31.75939280%2C35.21896830&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJZfgatiYoAxURNuZXb0gVP9k&amp;ll=31.75939280%2C35.21896830&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">8 Efrayim St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.75959347,35.2189683,8 Efrayim St.,,,Baka
Baka,Public Shelter No.682,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75935280%2C35.21890230&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75935280%2C35.21890230&amp;navigate=yes&amp;zoom=16"">14 Reuven St.</a> ",135,,108,"Emergency and Security Division, Jerusalem Municipality",31.75951784,35.2188286,14 Reuven St.,,,Baka
Baka,Public Shelter No.683,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75982140%2C35.22352620&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75982140%2C35.22352620&amp;navigate=yes&amp;zoom=16"">54 Hebron Rd.</a> ",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.76002206,35.2235262,54 Hebron Rd.,,,Baka
Baka,Public Shelter No.684,"<a rel=""noopener"" href=""https://goo.gl/maps/DBvHPN7VXXp?ll=31.75982140%2C35.22352620&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75982140%2C35.22352620&amp;navigate=yes&amp;zoom=16"">6 Esther HaMalka St.</a> ",295,,236,"Emergency and Security Division, Jerusalem Municipality",31.758750,35.222640,6 Esther HaMalka St.,,,Baka
Baka,Public Shelter No.685,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75702360%2C35.22194250&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75702360%2C35.22194250&amp;navigate=yes&amp;zoom=16"">6 Mordechai HaYehudi St.</a> ",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.75722449,35.22199465,6 Mordechai HaYehudi St.,,,Baka
Talpiot,Public Shelter No.688,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75255220%2C35.22187030&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75255220%2C35.22187030&amp;navigate=yes&amp;zoom=16"">18 Efrata St.</a> ",200,,160,"Emergency and Security Division, Jerusalem Municipality",31.752546089319623,35.22182315,18 Efrata St.,,,Talpiyot - Arnona
Talpiot,Public Shelter No.689,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiRCZW4gR2F2cmllbCBTdCAxMCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgnhMXQxGSgDFRFagfdZzXwTkBAKKhQKEgkrfJE2GSgDFRENScS7vvQR_A&amp;ll=31.75021310%2C35.22088390&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiRCZW4gR2F2cmllbCBTdCAxMCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgnhMXQxGSgDFRFagfdZzXwTkBAKKhQKEgkrfJE2GSgDFRENScS7vvQR_A&amp;ll=31.75021310%2C35.22088390&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">10 Ben Gavriel St.</a> ",90,,72,"Emergency and Security Division, Jerusalem Municipality",31.749094780609962,35.2200234,10 Ben Gavriel St.,,,Talpiyot - Arnona
Talpiot,Public Shelter No.690,"<a rel=""noopener"" href=""https://ul.waze.com/ul?venue_id=23068989.230820967.255811&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?venue_id=23068989.230820967.255811&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">1 Leib Yaffe St.</a> ",240,,192,"Emergency and Security Division, Jerusalem Municipality",31.74919744,35.2234383,"1 Leib Yaffe St., jerusalem",,,Talpiyot - Arnona
Talpiot,Public Shelter No.691,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.75189020%2C35.21884540&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75177480%2C35.21944020&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75177480%2C35.21944020&amp;navigate=yes&amp;zoom=16"">93 Bethlehem Rd.</a> ",440,,352,"Emergency and Security Division, Jerusalem Municipality",31.752087774115857,35.21891075,93 Bethlehem Rd.,,,Talpiyot - Arnona
Emek Refaim,Public Shelter No.693,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJ9b5pgtjXAhURt4V9xghL4h4&amp;ll=31.76251050%2C35.21476740&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJ9b5pgtjXAhURt4V9xghL4h4&amp;ll=31.76251050%2C35.21476740&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">9 Yotam St.</a> ",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.76274013,35.21468592,9 Yotam St.,,,German Colony
German Colony,Public Shelter No.695,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76225270%2C35.21485970&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76225270%2C35.21485970&amp;navigate=yes&amp;zoom=16"">2 Amatsiya St.</a> ",250,,200,Chabad synagogue,31.76231446,35.21556613,2 Amatsiya St.,,,German Colony
Old Katamon,"Public Shelter No.696 ","<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76109180%2C35.21334270&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76109180%2C35.21334270&amp;navigate=yes&amp;zoom=16"">3 Reish Lakish St.</a> ",164,,131,"Emergency and Security Division, Jerusalem Municipality",31.76129246,35.21325687,3 Reish Lakish St.,,,Gonenim - Katamonim
Emek Refaim,Public Shelter No.697,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76055700%2C35.21525000&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76055700%2C35.21525000&amp;navigate=yes&amp;zoom=16"">27 Yehoshua Bin Nun St.</a> ",160,,128,"Emergency and Security Division, Jerusalem Municipality",31.76069919,35.21523335,27 Yehoshua Bin Nun St.,,,German Colony
Old Katamon&nbsp;,Public Shelter No.703,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75604300%2C35.20517330&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75604300%2C35.20517330&amp;navigate=yes&amp;zoom=16"">53 Yohanan Ben Zakai St.</a> ",170,,136,"""Zchut Avot"" synagogue",31.7563287,35.20489024,53 Yohanan Ben Zakai St.,,,Gonenim - Katamonim
Giv'at Havradim (Rassco),Public Shelter No.715,"<a rel=""noopener"" href=""https://goo.gl/maps/wPX1uqTVmXT2?ll=31.78996270%2C35.21151270&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78996270%2C35.21151270&amp;navigate=yes&amp;zoom=16"">52 David Shimoni St.</a> ",180,,144,"Emergency and Security Division, Jerusalem Municipality",31.761363718452447,35.20108822,52 David Shimoni St.,,,Rassco - Givat HaVradim
Katamon,Public Shelter No.718,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.75369450%2C35.19495770&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?ll=31.75369450%2C35.19495770&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">6 Rabbi Tzadok St.</a> ",120,,96,Gonenim Community Administration,31.75450818,35.19382965,6 Rabbi Tzadok St.,,,Gonenim - Katamonim
Kiryat HaYovel,Public Shelter No.721,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75548920%2C35.17729790&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75548920%2C35.17729790&amp;navigate=yes&amp;zoom=16"">29 Uruguay St.</a> ",130,,104,"Community Administration, Public Health Division, Jerusalem Municipality",31.755479951365427,35.17732316161951,29 Uruguay St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.722,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75637470%2C35.17665450&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75637470%2C35.17665450&amp;navigate=yes&amp;zoom=16"">67 Avraham Stern St.</a> ",130,,104,"Emergency and Security Division, Jerusalem Municipality",31.756374674113907,35.17666523278302,67 Avraham Stern St.,,,Kiryat Yovel
Kiryat HaYovel,Public Shelter No.723,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75340830%2C35.17668960&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75340830%2C35.17668960&amp;navigate=yes&amp;zoom=16"">51 Avraham Stern St.</a> ",130,,104,"Emergency and Security Division, Jerusalem Municipality",31.75424528,35.17664425,51 Avraham Stern St.,,,"Kiryat Yovel, Accessible Shelter"
"Kiryat HaYovel ",Public Shelter No.724,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJdyRIaYrXAhURPNretZHvuoQ&amp;ll=31.75819100%2C35.17760710&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJdyRIaYrXAhURPNretZHvuoQ&amp;ll=31.75819100%2C35.17760710&amp;navigate=yes&amp;utm_campaign=default%2Cdefault&amp;utm_source=waze_website%2Cwaze_website&amp;utm_medium=lm_share_location"">9 Volta Ilit St.</a> ",90,,72,"Emergency and Security Division, Jerusalem Municipality",31.75837336,35.17758566,9 Volta Ilit St.,,,Kiryat Yovel
Ir Ganim,Public Shelter No.726,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75274090%2C35.17059330&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?ll=31.75274090%2C35.17059330&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">123 HaNurit St.</a> ",350,,280,"Emergency and Security Division, Jerusalem Municipality",31.75304368,35.17212095,123 HaNurit St.,,,Ir Ganim
